 Htr/Hrms  H1/Hrms  H2/Hrms  H1/3/Hrms H1/10/Hrms H1/50/Hrms H1/100/Hrms H1/250/Hrms H1/1000/Hrms
  2.47000  1.00054  1.49507    1.41591    1.79892    2.19770     2.34087     2.49929      2.65154
  2.48000  1.00051  1.49774    1.41590    1.79898    2.19816     2.34183     2.50179      2.65626
  2.49000  1.00049  1.50040    1.41590    1.79903    2.19859     2.34275     2.50416      2.66098
  2.50000  1.00046  1.50305    1.41589    1.79908    2.19900     2.34362     2.50641      2.66569
  2.51000  1.00044  1.50570    1.41588    1.79913    2.19939     2.34444     2.50856      2.67039
  2.52000  1.00042  1.50835    1.41588    1.79917    2.19976     2.34523     2.51060      2.67508
  2.53000  1.00040  1.51099    1.41587    1.79921    2.20011     2.34597     2.51253      2.67976
  2.54000  1.00038  1.51362    1.41587    1.79925    2.20044     2.34668     2.51437      2.68444
  2.55000  1.00036  1.51625    1.41586    1.79929    2.20076     2.34736     2.51611      2.68910
  2.56000  1.00034  1.51888    1.41586    1.79933    2.20106     2.34799     2.51777      2.69375
  2.57000  1.00032  1.52150    1.41585    1.79936    2.20135     2.34860     2.51935      2.69840
  2.58000  1.00031  1.52411    1.41585    1.79939    2.20162     2.34918     2.52084      2.70304
  2.59000  1.00029  1.52672    1.41584    1.79942    2.20187     2.34972     2.52226      2.70766
  2.60000  1.00028  1.52932    1.41584    1.79945    2.20212     2.35024     2.52360      2.71228
  2.61000  1.00026  1.53192    1.41583    1.79948    2.20235     2.35073     2.52488      2.71689
  2.62000  1.00025  1.53452    1.41583    1.79950    2.20257     2.35120     2.52609      2.72149
  2.63000  1.00024  1.53711    1.41582    1.79953    2.20278     2.35164     2.52723      2.72608
  2.64000  1.00022  1.53969    1.41582    1.79955    2.20297     2.35206     2.52832      2.73053
  2.65000  1.00021  1.54227    1.41582    1.79957    2.20316     2.35245     2.52935      2.73474
  2.66000  1.00020  1.54484    1.41581    1.79959    2.20334     2.35283     2.53033      2.73873
  2.67000  1.00019  1.54741    1.41581    1.79961    2.20350     2.35319     2.53126      2.74251
  2.68000  1.00018  1.54998    1.41581    1.79963    2.20366     2.35352     2.53214      2.74610
  2.69000  1.00017  1.55254    1.41580    1.79965    2.20381     2.35384     2.53297      2.74949
  2.70000  1.00016  1.55509    1.41580    1.79966    2.20395     2.35415     2.53375      2.75271
  2.71000  1.00015  1.55764    1.41580    1.79968    2.20409     2.35443     2.53450      2.75575
  2.72000  1.00015  1.56019    1.41579    1.79969    2.20422     2.35471     2.53520      2.75864
  2.73000  1.00014  1.56273    1.41579    1.79971    2.20434     2.35496     2.53587      2.76137
  2.74000  1.00013  1.56526    1.41579    1.79972    2.20445     2.35521     2.53651      2.76395
  2.75000  1.00012  1.56779    1.41579    1.79973    2.20456     2.35544     2.53710      2.76640
  2.76000  1.00012  1.57032    1.41578    1.79974    2.20466     2.35565     2.53767      2.76871
  2.77000  1.00011  1.57284    1.41578    1.79975    2.20476     2.35586     2.53820      2.77090
  2.78000  1.00010  1.57535    1.41578    1.79976    2.20485     2.35605     2.53871      2.77296
  2.79000  1.00010  1.57787    1.41578    1.79977    2.20493     2.35624     2.53919      2.77492
  2.80000  1.00009  1.58037    1.41578    1.79978    2.20501     2.35641     2.53964      2.77677
  2.81000  1.00009  1.58287    1.41577    1.79979    2.20509     2.35657     2.54007      2.77852
  2.82000  1.00008  1.58537    1.41577    1.79980    2.20516     2.35673     2.54047      2.78017
  2.83000  1.00008  1.58786    1.41577    1.79980    2.20523     2.35688     2.54085      2.78173
  2.84000  1.00007  1.59035    1.41577    1.79981    2.20530     2.35701     2.54122      2.78320
  2.85000  1.00007  1.59283    1.41577    1.79982    2.20536     2.35715     2.54156      2.78460
  2.86000  1.00007  1.59531    1.41576    1.79982    2.20542     2.35727     2.54188      2.78591
  2.87000  1.00006  1.59778    1.41576    1.79983    2.20547     2.35738     2.54218      2.78715
  2.88000  1.00006  1.60025    1.41576    1.79984    2.20552     2.35749     2.54247      2.78832
  2.89000  1.00006  1.60272    1.41576    1.79984    2.20557     2.35760     2.54274      2.78943
  2.90000  1.00005  1.60518    1.41576    1.79985    2.20562     2.35770     2.54299      2.79047
  2.91000  1.00005  1.60763    1.41576    1.79985    2.20566     2.35779     2.54323      2.79146
  2.92000  1.00005  1.61008    1.41576    1.79985    2.20570     2.35788     2.54346      2.79238
  2.93000  1.00004  1.61253    1.41576    1.79986    2.20574     2.35796     2.54367      2.79326
